npmPackageName,versionNumber
@jsonjoy.com/codegen,1.0.0
@jsonjoy.com/fs-core,4.56.10
@jsonjoy.com/fs-fsa,4.56.10
@jsonjoy.com/fs-node,4.56.10
@jsonjoy.com/fs-node-builtins,4.56.10
@jsonjoy.com/fs-node-to-fsa,4.56.10
@jsonjoy.com/fs-node-utils,4.56.10
@jsonjoy.com/fs-print,4.56.10
@jsonjoy.com/fs-snapshot,4.56.10
@jsonjoy.com/json-pack,1.21.0
@jsonjoy.com/json-pointer,1.0.2
@jsonjoy.com/util,1.9.0
@leichtgewicht/ip-codec,2.0.5
@listr2/prompt-adapter-inquirer,3.0.5
@lmdb/lmdb-darwin-arm64,3.4.4
@lmdb/lmdb-darwin-x64,3.4.4
@lmdb/lmdb-linux-arm,3.4.4
@lmdb/lmdb-linux-arm64,3.4.4
@lmdb/lmdb-linux-x64,3.4.4
@lmdb/lmdb-win32-arm64,3.4.4
@lmdb/lmdb-win32-x64,3.4.4
@macro/source,0.0.0
@modelcontextprotocol/sdk,1.25.2
@module-federation/bridge-react-webpack-plugin,0.24.1
@module-federation/cli,0.24.1
@module-federation/data-prefetch,0.24.1
@module-federation/dts-plugin,0.24.1
@module-federation/enhanced,0.21.6
@module-federation/error-codes,0.22.0
@module-federation/inject-external-runtime-core-plugin,0.24.1
@module-federation/managers,0.24.1
@module-federation/manifest,0.24.1
@module-federation/node,2.7.30
@module-federation/rspack,0.24.1
@module-federation/runtime,0.22.0
@module-federation/runtime-core,0.22.0
@module-federation/runtime-tools,0.22.0
@module-federation/sdk,0.22.0
@module-federation/third-party-dts-extractor,0.24.1
@module-federation/webpack-bundler-runtime,0.22.0
@msgpackr-extract/msgpackr-extract-darwin-arm64,3.0.3
@msgpackr-extract/msgpackr-extract-darwin-x64,3.0.3
@msgpackr-extract/msgpackr-extract-linux-arm,3.0.3
@msgpackr-extract/msgpackr-extract-linux-arm64,3.0.3
@msgpackr-extract/msgpackr-extract-linux-x64,3.0.3
@msgpackr-extract/msgpackr-extract-win32-x64,3.0.3
@napi-rs/nice,1.1.1
@napi-rs/nice-android-arm-eabi,1.1.1
@napi-rs/nice-android-arm64,1.1.1
@napi-rs/nice-darwin-arm64,1.1.1
@napi-rs/nice-darwin-x64,1.1.1
@napi-rs/nice-freebsd-x64,1.1.1
@napi-rs/nice-linux-arm-gnueabihf,1.1.1
@napi-rs/nice-linux-arm64-gnu,1.1.1
@napi-rs/nice-linux-arm64-musl,1.1.1
@napi-rs/nice-linux-ppc64-gnu,1.1.1
@napi-rs/nice-linux-riscv64-gnu,1.1.1
@napi-rs/nice-linux-s390x-gnu,1.1.1
@napi-rs/nice-linux-x64-gnu,1.1.1
@napi-rs/nice-linux-x64-musl,1.1.1
@napi-rs/nice-openharmony-arm64,1.1.1
@napi-rs/nice-win32-arm64-msvc,1.1.1
@napi-rs/nice-win32-ia32-msvc,1.1.1
@napi-rs/nice-win32-x64-msvc,1.1.1
@napi-rs/wasm-runtime,0.2.4
@noble/hashes,1.4.0
@nodelib/fs.scandir,2.1.5
@nodelib/fs.stat,2.0.5
@nodelib/fs.walk,1.2.8
@npmcli/agent,4.0.0
@npmcli/fs,5.0.0
@npmcli/git,7.0.1
@npmcli/installed-package-contents,4.0.0
@npmcli/node-gyp,5.0.0
@npmcli/package-json,7.0.4
@npmcli/promise-spawn,9.0.1
@npmcli/redact,4.0.0
@npmcli/run-script,10.0.3
@nx/angular,22.4.5
@nx/devkit,22.4.5
@nx/docker,22.4.5
@nx/esbuild,22.4.5
@nx/eslint,22.4.5
@nx/eslint-plugin,22.4.5
@nx/jest,22.4.5
@nx/js,22.4.5
@nx/module-federation,22.4.5
@nx/node,22.4.5
@nx/nx-darwin-arm64,22.4.5
@nx/nx-darwin-x64,22.4.5
@nx/nx-freebsd-x64,22.4.5
@nx/nx-linux-arm-gnueabihf,22.4.5
@nx/nx-linux-arm64-gnu,22.4.5
@nx/nx-linux-arm64-musl,22.4.5
@nx/nx-linux-x64-gnu,22.4.5
@nx/nx-linux-x64-musl,22.4.5
@nx/nx-win32-arm64-msvc,22.4.5
@nx/nx-win32-x64-msvc,22.4.5
@nx/playwright,22.4.5
@nx/react,22.4.5
@nx/rollup,22.4.5
@nx/rspack,22.4.5
@nx/vite,22.4.5
@nx/vitest,22.4.5
@nx/web,22.4.5
@nx/webpack,22.4.5
@nx/workspace,22.4.5
@openfin/automation-helpers,1.3.1
@openfin/core,42.102.4
@openfin/microsoft365,1.0.1
@openfin/node-adapter,42.102.4
@openfin/workspace,22.3.25
@openfin/workspace-platform,22.3.25
@oxc-project/types,0.106.0
@parcel/watcher,2.5.4
@parcel/watcher-android-arm64,2.5.4
@parcel/watcher-darwin-arm64,2.5.4
@parcel/watcher-darwin-x64,2.5.4
@parcel/watcher-freebsd-x64,2.5.4
@parcel/watcher-linux-arm-glibc,2.5.4
@parcel/watcher-linux-arm-musl,2.5.4
@parcel/watcher-linux-arm64-glibc,2.5.4
@parcel/watcher-linux-arm64-musl,2.5.4
@parcel/watcher-linux-x64-glibc,2.5.4
@parcel/watcher-linux-x64-musl,2.5.4
@parcel/watcher-win32-arm64,2.5.4
@parcel/watcher-win32-ia32,2.5.4
@parcel/watcher-win32-x64,2.5.4
@peculiar/asn1-cms,2.6.0
@peculiar/asn1-csr,2.6.0
@peculiar/asn1-ecc,2.6.0
@peculiar/asn1-pfx,2.6.0
@peculiar/asn1-pkcs8,2.6.0
@peculiar/asn1-pkcs9,2.6.0
@peculiar/asn1-rsa,2.6.0
@peculiar/asn1-schema,2.6.0
@peculiar/asn1-x509,2.6.0
@peculiar/asn1-x509-attr,2.6.0
@peculiar/x509,1.14.3
@phenomnomnominal/tsquery,6.1.4
@pinojs/redact,0.4.0
@pkgjs/parseargs,0.11.0
@pkgr/core,0.2.9
@playwright/test,1.57.0
@polka/url,1.0.0-next.29
@primeuix/motion,0.0.10
@primeuix/styled,0.7.4
@primeuix/styles,2.0.2
@primeuix/themes,2.0.3
@primeuix/utils,0.6.3
@promptbook/utils,0.69.5
@puppeteer/browsers,1.9.1
@radix-ui/primitive,1.1.3
@radix-ui/react-arrow,1.1.7
@radix-ui/react-collection,1.1.7
@radix-ui/react-compose-refs,1.1.2
@radix-ui/react-context,1.1.2
@radix-ui/react-direction,1.1.1
@radix-ui/react-dismissable-layer,1.1.11
@radix-ui/react-focus-guards,1.1.3
@radix-ui/react-focus-scope,1.1.7
@radix-ui/react-id,1.1.1
@radix-ui/react-label,2.1.8
@radix-ui/react-menu,2.1.16
@radix-ui/react-menubar,1.1.16
@radix-ui/react-popper,1.2.8
@radix-ui/react-portal,1.1.9
@radix-ui/react-presence,1.1.5
@radix-ui/react-primitive,2.1.3
@radix-ui/react-roving-focus,1.1.11
@radix-ui/react-slot,1.2.3
@radix-ui/react-switch,1.2.6
@radix-ui/react-use-callback-ref,1.1.1
@radix-ui/react-use-controllable-state,1.2.2
@radix-ui/react-use-effect-event,0.0.2
@radix-ui/react-use-escape-keydown,1.1.1
@radix-ui/react-use-layout-effect,1.1.1
@radix-ui/react-use-previous,1.1.1
@radix-ui/react-use-rect,1.1.1
@radix-ui/react-use-size,1.1.1
@radix-ui/rect,1.1.1
@reduxjs/toolkit,2.11.2
@remix-run/router,1.23.2
@rolldown/binding-android-arm64,1.0.0-beta.58
@rolldown/binding-darwin-arm64,1.0.0-beta.58
@rolldown/binding-darwin-x64,1.0.0-beta.58
@rolldown/binding-freebsd-x64,1.0.0-beta.58
@rolldown/binding-linux-arm-gnueabihf,1.0.0-beta.58
@rolldown/binding-linux-arm64-gnu,1.0.0-beta.58
@rolldown/binding-linux-arm64-musl,1.0.0-beta.58
@rolldown/binding-linux-x64-gnu,1.0.0-beta.58
